Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
0.020000,24.401899,23.044181,18.834235,-0.843274,-4.192416,9.938800,2.731772,
0.020000,24.415891,23.038070,18.849503,-0.763401,-3.993640,9.938807,2.727955,
0.020000,24.428472,23.032522,18.863253,-0.687504,-3.794863,9.938859,2.724533,
0.020000,24.439721,23.027518,18.875564,-0.615582,-3.596086,9.938851,2.721482,
0.020000,24.449715,23.023037,18.886517,-0.547636,-3.397308,9.938879,2.718777,
0.020000,24.458532,23.019057,18.896190,-0.483665,-3.198530,9.938908,2.716396,
0.020000,24.466247,23.015554,18.904664,-0.423670,-2.999752,9.938889,2.714316,
0.020000,24.472936,23.012501,18.912017,-0.367651,-2.800974,9.938925,2.712516,
0.020000,24.478674,23.009870,18.918329,-0.315607,-2.602195,9.938920,2.710974,
0.020000,24.483535,23.007634,18.923680,-0.267538,-2.403417,9.938921,2.709669,
0.020000,24.487592,23.005761,18.928149,-0.223446,-2.204638,9.938945,2.708581,
0.020000,24.490920,23.004221,18.931815,-0.183328,-2.005860,9.938908,2.707690,
0.020000,24.493590,23.002982,18.934759,-0.147187,-1.807080,9.938962,2.706975,
0.020000,24.495677,23.002013,18.937059,-0.115021,-1.608302,9.938928,2.706417,
0.020000,24.497251,23.001280,18.938796,-0.086830,-1.409523,9.938946,2.705996,
0.020000,24.498387,23.000752,18.940048,-0.062615,-1.210744,9.938946,2.705692,
0.020000,24.499155,23.000394,18.940896,-0.042376,-1.011966,9.938912,2.705487,
0.020000,24.499628,23.000173,18.941418,-0.026112,-0.813186,9.938985,2.705360,
0.020000,24.499879,23.000057,18.941694,-0.013824,-0.614408,9.938906,2.705293,
0.020000,24.499979,23.000010,18.941805,-0.005512,-0.415629,9.938948,2.705267,
0.020000,24.500000,23.000000,18.941828,-0.001175,-0.216850,9.938970,2.705261,
0.020000,24.500000,23.000000,18.941828,0.000000,-0.058731,7.905955,2.705261,
0.020000,24.499983,23.000008,0.000039,0.003941,0.197044,9.852218,2.705257,
0.020000,24.499840,23.000075,0.000197,0.007882,0.197044,0.000000,2.705233,
0.020000,24.499519,23.000224,0.000552,0.017734,0.492611,14.778327,2.705178,
0.020000,24.498947,23.000491,0.001182,0.031527,0.689655,9.852218,2.705081,
0.020000,24.498054,23.000908,0.002167,0.049261,0.886700,9.852218,2.704929,
0.020000,24.496769,23.001508,0.003586,0.070936,1.083744,9.852218,2.704711,
0.020000,24.495019,23.002325,0.005517,0.096552,1.280788,9.852217,2.704413,
0.020000,24.492735,23.003393,0.008039,0.126108,1.477833,9.852217,2.704026,
0.020000,24.489844,23.004747,0.011232,0.159606,1.674877,9.852217,2.703537,
0.020000,24.486275,23.006419,0.015172,0.197044,1.871921,9.852216,2.702935,
0.020000,24.481959,23.008446,0.019941,0.238424,2.068966,9.852216,2.702208,
0.020000,24.476824,23.010862,0.025616,0.283744,2.266010,9.852215,2.701348,
0.020000,24.470801,23.013704,0.032276,0.333005,2.463054,9.852213,2.700342,
0.020000,24.463818,23.017007,0.040000,0.386207,2.660098,9.852212,2.699183,
0.020000,24.455807,23.020808,0.048867,0.443350,2.857143,9.852210,2.697861,
0.020000,24.446735,23.025129,0.058916,0.502463,2.955665,4.926101,2.696375,
0.020000,24.436602,23.029974,0.070148,0.561576,2.955664,-0.000008,2.694728,
0.020000,24.425412,23.035349,0.082562,0.620690,2.955664,-0.000008,2.692926,
0.020000,24.413167,23.041258,0.096158,0.679803,2.955664,-0.000008,2.690974,
0.020000,24.399871,23.047709,0.110936,0.738916,2.955664,-0.000009,2.688877,
0.020000,24.385526,23.054706,0.126897,0.798029,2.955664,-0.000008,2.686643,
0.020000,24.370136,23.062257,0.144039,0.857143,2.955664,-0.000008,2.684278,
0.020000,24.353704,23.070369,0.162365,0.916256,2.955664,-0.000007,2.681790,
0.020000,24.336234,23.079049,0.181872,0.975369,2.955663,-0.000006,2.679187,
0.020000,24.317730,23.088303,0.202562,1.034483,2.955663,-0.000005,2.676477,
0.020000,24.298195,23.098141,0.224433,1.093596,2.955663,-0.000004,2.673670,
0.020000,24.277634,23.108569,0.247488,1.152709,2.955663,-0.000002,2.670776,
0.020000,24.256051,23.119595,0.271724,1.211822,2.955663,0.000000,2.667805,
0.020000,24.233450,23.131227,0.297143,1.270936,2.955663,0.000002,2.664767,
0.020000,24.209835,23.143473,0.323744,1.330049,2.955663,0.000004,2.661674,
0.020000,24.185211,23.156339,0.351527,1.389162,2.955663,0.000006,2.658539,
0.020000,24.159581,23.169834,0.380493,1.448275,2.955664,0.000008,2.655373,
0.020000,24.132950,23.183965,0.410640,1.507389,2.955664,0.000010,2.652189,
0.020000,24.105321,23.198737,0.441970,1.566502,2.955664,0.000013,2.649002,
0.020000,24.076699,23.214158,0.474483,1.625615,2.955664,0.000015,2.645825,
0.020000,24.047121,23.230215,0.508138,1.682758,2.857143,-4.926086,2.642677,
0.020000,24.016660,23.246875,0.542857,1.735960,2.660099,-9.852188,2.639579,
0.020000,23.985387,23.264104,0.578561,1.785221,2.463055,-9.852188,2.636552,
0.020000,23.953373,23.281865,0.615172,1.830541,2.266011,-9.852190,2.633616,
0.020000,23.920688,23.300122,0.652611,1.871921,2.068967,-9.852192,2.630788,
0.020000,23.887401,23.318837,0.690798,1.909359,1.871924,-9.852196,2.628086,
0.020000,23.853580,23.337968,0.729655,1.942857,1.674880,-9.852200,2.625525,
0.020000,23.819293,23.357476,0.769103,1.972414,1.477835,-9.852204,2.623122,
0.020000,23.784607,23.377318,0.809064,1.998029,1.280791,-9.852209,2.620887,
0.020000,23.749587,23.397451,0.849458,2.019704,1.083747,-9.852214,2.618834,
0.020000,23.714300,23.417829,0.890207,2.037438,0.886703,-9.852219,2.616971,
0.020000,23.678810,23.438408,0.931231,2.051232,0.689658,-9.852223,2.615308,
0.020000,23.643182,23.459141,0.972453,2.061084,0.492614,-9.852228,2.613851,
0.020000,23.607480,23.479982,1.013793,2.066995,0.295569,-9.852231,2.612606,
0.020000,23.571775,23.500879,1.055164,2.068529,0.076685,-10.944221,2.611575,
0.020000,23.536139,23.521780,1.096477,2.065685,-0.142200,-10.944223,2.610762,
0.020000,23.500634,23.542638,1.137655,2.058900,-0.339245,-9.852238,2.610165,
0.020000,23.465324,23.563404,1.178619,2.048174,-0.536289,-9.852239,2.609785,
0.020000,23.430273,23.584031,1.219289,2.033507,-0.733334,-9.852238,2.609616,
0.020000,23.395544,23.604472,1.259587,2.014900,-0.930379,-9.852237,2.609655,
0.020000,23.361201,23.624679,1.299434,1.992351,-1.127424,-9.852235,2.609895,
0.020000,23.327307,23.644606,1.338751,1.965862,-1.324468,-9.852233,2.610328,
0.020000,23.293928,23.664207,1.377460,1.935432,-1.521513,-9.852230,2.610945,
0.020000,23.261128,23.683436,1.415481,1.901061,-1.718557,-9.852226,2.611735,
0.020000,23.228973,23.702251,1.452736,1.862749,-1.915602,-9.852223,2.612687,
0.020000,23.197528,23.720606,1.489146,1.820496,-2.112646,-9.852219,2.613786,
0.020000,23.166861,23.738460,1.524632,1.774302,-2.309691,-9.852216,2.615018,
0.020000,23.137037,23.755770,1.559115,1.724167,-2.506735,-9.852213,2.616368,
0.020000,23.108126,23.772498,1.592517,1.670092,-2.703779,-9.852210,2.617819,
0.020000,23.080187,23.788606,1.624767,1.612512,-2.878983,-8.760221,2.619354,
0.020000,23.053248,23.804082,1.655835,1.553399,-2.955666,-3.834113,2.620956,
0.020000,23.027310,23.818927,1.685721,1.494285,-2.955666,0.000008,2.622613,
0.020000,23.002374,23.833143,1.714424,1.435172,-2.955665,0.000008,2.624311,
0.020000,22.978442,23.846732,1.741946,1.376059,-2.955665,0.000008,2.626037,
0.020000,22.955515,23.859698,1.768285,1.316945,-2.955665,0.000007,2.627778,
0.020000,22.933596,23.872044,1.793441,1.257832,-2.955665,0.000006,2.629523,
0.020000,22.912687,23.883773,1.817416,1.198719,-2.955665,0.000005,2.631260,
0.020000,22.892789,23.894889,1.840208,1.139605,-2.955665,0.000004,2.632979,
0.020000,22.873906,23.905396,1.861817,1.080492,-2.955665,0.000003,2.634670,
0.020000,22.856039,23.915299,1.882245,1.021379,-2.955665,0.000002,2.636322,
0.020000,22.839191,23.924601,1.901490,0.962266,-2.955665,0.000001,2.637927,
0.020000,22.823365,23.933307,1.919553,0.903152,-2.955665,0.000000,2.639476,
0.020000,22.808561,23.941420,1.936434,0.844039,-2.955665,-0.000001,2.640960,
0.020000,22.794784,23.948946,1.952133,0.784926,-2.955665,-0.000001,2.642373,
0.020000,22.782035,23.955887,1.966649,0.725812,-2.955665,-0.000002,2.643708,
0.020000,22.770316,23.962247,1.979983,0.666699,-2.955665,-0.000002,2.644957,
0.020000,22.759629,23.968031,1.992135,0.607586,-2.955665,-0.000003,2.646114,
0.020000,22.749976,23.973241,2.003104,0.548473,-2.955665,-0.000003,2.647175,
0.020000,22.741358,23.977882,2.012891,0.489359,-2.955665,-0.000003,2.648135,
0.020000,22.733771,23.981958,2.021505,0.430683,-2.933825,1.091984,2.648989,
0.020000,22.727171,23.985497,2.028993,0.374413,-2.813463,6.018092,2.649740,
0.020000,22.721492,23.988538,2.035435,0.322085,-2.616419,9.852215,2.650391,
0.020000,22.716665,23.991118,2.040909,0.273698,-2.419375,9.852215,2.650948,
0.020000,22.712620,23.993278,2.045494,0.229251,-2.222331,9.852216,2.651418,
0.020000,22.709289,23.995054,2.049269,0.188745,-2.025286,9.852217,2.651807,
0.020000,22.706603,23.996486,2.052312,0.152180,-1.828242,9.852217,2.652122,
0.020000,22.704493,23.997610,2.054704,0.119556,-1.631198,9.852217,2.652370,
0.020000,22.702888,23.998464,2.056521,0.090873,-1.434153,9.852217,2.652559,
0.020000,22.701721,23.999085,2.057844,0.066131,-1.237109,9.852218,2.652697,
0.020000,22.700920,23.999511,2.058750,0.045330,-1.040064,9.852218,2.652792,
0.020000,22.700418,23.999778,2.059320,0.028470,-0.843020,9.852218,2.652851,
0.020000,22.700143,23.999924,2.059631,0.015550,-0.645976,9.852218,2.652884,
